,ALLSKY_SFC_SW_DWN,ALLSKY_TOA_SW_DWN,ALLSKY_KT,T2M,RH2M,PS,WS2M,WD2M,CLOUD_AMT
2020-03-01 00:00:00,0.0,,-999.0,21.02,79.53,91.84,4.65,127.9,63.04
2020-03-01 01:00:00,0.0,,-999.0,20.6,82.6,91.8,3.98,134.1,52.6
2020-03-01 02:00:00,0.0,,-999.0,20.47,83.73,91.78,3.46,138.4,40.19
2020-03-01 03:00:00,0.0,,-999.0,20.32,84.68,91.78,3.08,141.2,28.01
2020-03-01 04:00:00,0.0,,-999.0,20.19,85.39,91.8,2.79,141.7,39.43
2020-03-01 05:00:00,0.0,,-999.0,20.03,86.3,91.86,2.57,139.3,41.64
2020-03-01 06:00:00,36.35,,0.29,20.46,83.31,91.93,2.87,136.1,28.02
2020-03-01 07:00:00,203.82,,0.44,22.67,69.33,91.99,3.08,129.2,84.17
2020-03-01 08:00:00,464.3,,0.61,26.01,51.71,92.01,2.87,108.1,11.53
2020-03-01 09:00:00,684.53,,0.67,29.07,38.92,92.01,2.79,81.8,6.77
2020-03-01 10:00:00,843.2,,0.71,31.28,31.93,91.93,2.76,65.6,2.23
2020-03-01 11:00:00,940.1,,0.73,32.92,27.87,91.8,2.64,56.1,8.46
2020-03-01 12:00:00,933.85,,0.72,33.99,25.23,91.67,2.47,49.6,17.55
2020-03-01 13:00:00,821.05,,0.68,34.57,23.49,91.55,2.26,46.1,36.61
2020-03-01 14:00:00,587.4,,0.57,34.58,22.69,91.47,2.09,45.2,60.51
2020-03-01 15:00:00,390.0,,0.5,33.76,23.14,91.45,2.03,46.4,64.57
2020-03-01 16:00:00,205.55,,0.42,32.44,24.6,91.49,2.01,49.4,56.27
2020-03-01 17:00:00,44.28,,0.29,30.71,27.15,91.55,1.38,52.6,37.97
2020-03-01 18:00:00,0.0,,-999.0,29.5,29.03,91.65,1.37,60.8,31.66
2020-03-01 19:00:00,0.0,,-999.0,28.83,30.43,91.76,1.82,73.1,28.49
2020-03-01 20:00:00,0.0,,-999.0,27.97,33.11,91.86,2.42,89.8,22.38
2020-03-01 21:00:00,0.0,,-999.0,26.82,37.97,91.93,3.28,107.6,12.9
2020-03-01 22:00:00,0.0,,-999.0,25.25,48.04,91.97,4.2,119.9,29.14
2020-03-01 23:00:00,0.0,,-999.0,23.53,60.38,91.97,4.49,127.6,50.09
2020-03-02 00:00:00,0.0,,-999.0,22.07,69.66,91.92,3.85,133.5,50.51
2020-03-02 01:00:00,0.0,,-999.0,21.04,75.66,91.85,3.15,139.6,36.61
2020-03-02 02:00:00,0.0,,-999.0,20.33,79.79,91.81,2.73,145.4,56.32
2020-03-02 03:00:00,0.0,,-999.0,19.79,83.19,91.79,2.37,149.5,71.0
2020-03-02 04:00:00,0.0,,-999.0,19.39,85.69,91.81,1.98,153.6,88.83
2020-03-02 05:00:00,0.0,,-999.0,19.02,87.94,91.87,1.52,157.5,87.99
2020-03-02 06:00:00,25.62,,0.2,19.82,83.62,91.96,2.3,162.8,92.08
2020-03-02 07:00:00,118.1,,0.25,22.82,66.33,92.04,2.78,171.9,97.5
2020-03-02 08:00:00,248.8,,0.32,26.27,50.46,92.1,2.35,177.3,94.97
2020-03-02 09:00:00,412.67,,0.41,28.96,39.98,92.12,1.67,175.9,85.7
2020-03-02 10:00:00,578.12,,0.48,30.97,33.35,92.03,1.18,180.0,66.17
2020-03-02 11:00:00,795.75,,0.62,32.08,30.38,91.9,1.0,199.3,73.53
2020-03-02 12:00:00,742.15,,0.57,32.53,29.19,91.76,1.09,219.1,84.07
2020-03-02 13:00:00,516.1,,0.43,33.22,27.9,91.65,1.28,225.9,80.32
2020-03-02 14:00:00,340.83,,0.33,33.01,28.21,91.58,1.43,226.7,95.7
2020-03-02 15:00:00,252.3,,0.32,31.93,30.19,91.56,1.4,222.7,89.38
2020-03-02 16:00:00,121.47,,0.25,30.86,32.39,91.59,1.2,211.7,80.58
2020-03-02 17:00:00,35.6,,0.24,29.5,35.32,91.65,0.76,193.7,63.11
2020-03-02 18:00:00,0.0,,-999.0,28.09,38.85,91.73,0.59,177.1,59.87
2020-03-02 19:00:00,0.0,,-999.0,27.26,41.42,91.81,0.72,167.9,58.44
2020-03-02 20:00:00,0.0,,-999.0,26.39,44.65,91.88,0.78,162.0,70.54
2020-03-02 21:00:00,0.0,,-999.0,25.52,48.36,91.91,1.06,161.2,75.55
2020-03-02 22:00:00,0.0,,-999.0,24.63,52.49,91.9,1.65,160.9,4.85
2020-03-02 23:00:00,0.0,,-999.0,23.75,56.96,91.88,1.93,160.6,32.96
2020-03-03 00:00:00,0.0,,-999.0,23.0,61.28,91.85,2.13,165.3,12.91
2020-03-03 01:00:00,0.0,,-999.0,22.34,65.38,91.82,2.26,171.3,19.11
2020-03-03 02:00:00,0.0,,-999.0,21.79,68.72,91.8,2.3,176.8,40.82
2020-03-03 03:00:00,0.0,,-999.0,21.31,71.42,91.83,2.17,181.8,49.21
2020-03-03 04:00:00,0.0,,-999.0,20.6,75.06,91.88,1.52,185.7,45.53
2020-03-03 05:00:00,0.0,,-999.0,20.04,77.95,91.95,1.25,186.9,73.75
2020-03-03 06:00:00,37.42,,0.28,20.78,74.48,92.04,2.03,185.9,65.57
2020-03-03 07:00:00,200.73,,0.43,23.44,62.27,92.11,2.16,192.6,98.26
2020-03-03 08:00:00,407.0,,0.53,26.81,48.4,92.14,1.21,196.8,98.85
2020-03-03 09:00:00,636.53,,0.62,29.76,37.83,92.12,0.31,161.0,4.93
2020-03-03 10:00:00,751.62,,0.63,31.88,31.72,92.01,0.19,251.6,86.89
2020-03-03 11:00:00,857.65,,0.66,33.56,27.55,91.87,0.86,259.2,33.47
2020-03-03 12:00:00,812.3,,0.63,34.56,25.46,91.72,1.53,255.2,57.42
2020-03-03 13:00:00,741.7,,0.61,35.01,24.62,91.6,2.07,253.4,70.96
2020-03-03 14:00:00,563.15,,0.54,35.0,24.54,91.52,2.33,253.8,58.86
2020-03-03 15:00:00,410.15,,0.52,34.1,25.86,91.48,2.16,253.1,26.66
2020-03-03 16:00:00,221.82,,0.45,32.89,27.97,91.51,1.9,248.7,4.78
2020-03-03 17:00:00,44.38,,0.29,31.19,31.36,91.57,1.08,240.6,0.45
2020-03-03 18:00:00,0.0,,-999.0,30.02,34.45,91.67,0.78,222.9,72.47
2020-03-03 19:00:00,0.0,,-999.0,29.42,37.13,91.79,1.39,207.5,57.79
2020-03-03 20:00:00,0.0,,-999.0,28.42,41.41,91.88,1.81,197.3,17.1
2020-03-03 21:00:00,0.0,,-999.0,27.17,47.85,91.94,2.1,190.1,44.88
2020-03-03 22:00:00,0.0,,-999.0,25.92,55.04,91.95,2.25,183.1,61.65
2020-03-03 23:00:00,0.0,,-999.0,24.88,61.21,91.92,2.04,178.3,77.17
2020-03-04 00:00:00,0.0,,-999.0,24.15,65.54,91.86,1.69,171.2,60.33
2020-03-04 01:00:00,0.0,,-999.0,23.62,68.61,91.8,1.3,157.8,68.82
2020-03-04 02:00:00,0.0,,-999.0,23.17,71.13,91.76,1.04,144.8,81.06
2020-03-04 03:00:00,0.0,,-999.0,22.81,72.91,91.76,0.97,146.3,75.73
2020-03-04 04:00:00,0.0,,-999.0,22.45,74.92,91.79,0.86,163.0,75.64
2020-03-04 05:00:00,0.0,,-999.0,22.1,77.08,91.86,0.6,183.8,81.09
2020-03-04 06:00:00,28.95,,0.22,22.54,74.96,91.95,1.05,204.9,66.66
2020-03-04 07:00:00,142.5,,0.3,24.48,65.18,92.02,0.79,249.3,97.67
2020-03-04 08:00:00,286.98,,0.37,27.23,52.34,92.06,0.69,332.3,98.14
2020-03-04 09:00:00,410.15,,0.4,29.58,43.19,92.03,0.85,358.0,78.54
2020-03-04 10:00:00,607.15,,0.51,31.41,37.0,91.95,0.9,352.3,86.34
2020-03-04 11:00:00,839.53,,0.65,32.63,32.89,91.82,0.92,340.4,37.68
2020-03-04 12:00:00,871.75,,0.67,33.37,30.31,91.68,0.98,333.4,29.24
2020-03-04 13:00:00,771.1,,0.64,33.76,28.69,91.58,0.99,329.0,34.29
2020-03-04 14:00:00,648.22,,0.63,33.93,27.29,91.5,1.05,335.1,17.8
2020-03-04 15:00:00,454.95,,0.58,33.57,26.75,91.46,0.98,354.1,26.54
2020-03-04 16:00:00,229.43,,0.47,32.51,27.79,91.47,0.94,22.5,30.31
2020-03-04 17:00:00,47.5,,0.31,30.99,30.4,91.5,0.62,49.6,25.84
2020-03-04 18:00:00,0.0,,-999.0,29.56,33.37,91.56,0.53,78.1,39.52
2020-03-04 19:00:00,0.0,,-999.0,28.83,35.61,91.64,0.64,91.8,38.21
2020-03-04 20:00:00,0.0,,-999.0,28.16,38.04,91.72,0.79,101.7,49.89
2020-03-04 21:00:00,0.0,,-999.0,27.54,40.69,91.78,1.01,114.5,56.16
2020-03-04 22:00:00,0.0,,-999.0,26.97,44.01,91.81,1.48,129.8,68.04
2020-03-04 23:00:00,0.0,,-999.0,26.19,49.03,91.79,2.37,146.5,49.77
2020-03-05 00:00:00,0.0,,-999.0,25.11,55.7,91.73,2.97,159.5,28.41
2020-03-05 01:00:00,0.0,,-999.0,24.03,62.09,91.67,3.19,167.7,12.8
2020-03-05 02:00:00,0.0,,-999.0,23.13,67.37,91.63,3.05,170.0,26.6
2020-03-05 03:00:00,0.0,,-999.0,22.34,71.91,91.63,2.59,168.0,14.6
2020-03-05 04:00:00,0.0,,-999.0,21.8,75.12,91.67,2.11,165.2,4.02
2020-03-05 05:00:00,0.0,,-999.0,21.39,77.78,91.74,1.68,162.3,11.58
2020-03-05 06:00:00,37.67,,0.27,21.99,75.82,91.83,2.18,161.6,1.34
2020-03-05 07:00:00,197.68,,0.42,24.36,66.42,91.91,2.83,168.4,7.99
2020-03-05 08:00:00,380.52,,0.49,27.09,54.95,91.96,2.94,166.8,20.72
2020-03-05 09:00:00,590.25,,0.57,29.49,45.74,91.96,3.08,162.6,7.49
2020-03-05 10:00:00,729.62,,0.61,31.22,39.35,91.87,3.16,163.5,24.55
2020-03-05 11:00:00,866.35,,0.67,32.31,35.2,91.74,3.2,169.0,38.19
2020-03-05 12:00:00,838.85,,0.65,32.99,33.02,91.6,3.27,175.8,49.17
2020-03-05 13:00:00,754.83,,0.62,33.48,31.38,91.49,3.33,181.0,37.59
2020-03-05 14:00:00,628.75,,0.61,33.39,30.78,91.41,3.37,184.4,51.68
2020-03-05 15:00:00,455.92,,0.58,32.3,32.66,91.39,3.44,184.5,38.9
2020-03-05 16:00:00,243.8,,0.5,31.04,35.6,91.43,3.49,181.6,20.94
2020-03-05 17:00:00,50.55,,0.33,29.72,39.16,91.49,3.19,178.4,26.54
2020-03-05 18:00:00,0.0,,-999.0,28.76,42.12,91.57,2.91,175.9,33.49
2020-03-05 19:00:00,0.0,,-999.0,28.17,43.9,91.66,2.99,176.2,59.48
2020-03-05 20:00:00,0.0,,-999.0,27.65,44.89,91.73,2.99,180.2,62.07
2020-03-05 21:00:00,0.0,,-999.0,27.13,45.85,91.77,2.93,182.7,65.23
2020-03-05 22:00:00,0.0,,-999.0,26.47,47.58,91.78,2.87,181.2,67.23
2020-03-05 23:00:00,0.0,,-999.0,25.81,50.08,91.75,2.64,181.1,44.93
2020-03-06 00:00:00,0.0,,-999.0,25.03,53.48,91.7,2.05,185.3,27.56
2020-03-06 01:00:00,0.0,,-999.0,24.15,57.3,91.65,1.4,193.2,33.39
2020-03-06 02:00:00,0.0,,-999.0,23.39,61.02,91.62,1.05,201.2,58.75
2020-03-06 03:00:00,0.0,,-999.0,23.14,63.08,91.62,1.22,204.7,66.03
2020-03-06 04:00:00,0.0,,-999.0,22.73,65.74,91.66,1.31,204.8,34.76
2020-03-06 05:00:00,0.0,,-999.0,22.31,68.46,91.73,1.24,201.8,32.11
2020-03-06 06:00:00,44.35,,0.32,22.62,68.4,91.81,1.33,196.1,7.03
2020-03-06 07:00:00,175.65,,0.37,24.09,64.87,91.88,1.6,186.1,88.61
2020-03-06 08:00:00,383.73,,0.49,26.33,57.39,91.92,1.99,183.7,69.13
2020-03-06 09:00:00,616.67,,0.6,28.97,47.77,91.92,2.5,186.4,55.59
2020-03-06 10:00:00,778.3,,0.65,31.11,40.58,91.85,2.83,189.6,47.13
2020-03-06 11:00:00,870.17,,0.67,32.57,35.93,91.75,3.01,192.7,39.28
2020-03-06 12:00:00,844.03,,0.65,33.54,32.5,91.64,3.13,194.3,50.14
2020-03-06 13:00:00,704.65,,0.58,33.73,30.75,91.55,3.1,196.3,46.42
2020-03-06 14:00:00,541.38,,0.52,33.57,30.36,91.49,2.98,195.6,50.68
2020-03-06 15:00:00,360.67,,0.45,32.98,31.17,91.47,2.87,188.0,42.38
2020-03-06 16:00:00,181.73,,0.37,31.5,34.59,91.5,2.72,172.0,27.01
2020-03-06 17:00:00,35.95,,0.23,29.86,40.04,91.56,2.66,156.0,33.36
2020-03-06 18:00:00,0.0,,-999.0,28.31,47.12,91.66,3.09,144.8,66.45
2020-03-06 19:00:00,0.0,,-999.0,26.85,54.99,91.76,3.68,142.1,84.93
2020-03-06 20:00:00,0.0,,-999.0,25.51,62.46,91.84,3.86,142.7,86.33
2020-03-06 21:00:00,0.0,,-999.0,24.49,68.34,91.88,3.83,143.5,73.73
2020-03-06 22:00:00,0.0,,-999.0,23.72,72.96,91.89,3.75,144.9,58.25
2020-03-06 23:00:00,0.0,,-999.0,23.14,76.41,91.86,3.64,145.7,67.11
2020-03-07 00:00:00,0.0,,-999.0,22.69,79.1,91.8,3.54,146.0,88.17
2020-03-07 01:00:00,0.0,,-999.0,22.36,81.01,91.73,3.3,144.9,59.72
2020-03-07 02:00:00,0.0,,-999.0,22.09,82.59,91.69,3.03,142.8,87.76
2020-03-07 03:00:00,0.0,,-999.0,21.86,83.92,91.68,2.72,141.3,83.22
2020-03-07 04:00:00,0.0,,-999.0,21.73,84.85,91.72,2.42,140.2,92.26
2020-03-07 05:00:00,0.0,,-999.0,21.65,85.72,91.79,2.11,138.8,85.1
2020-03-07 06:00:00,36.6,,0.25,21.74,85.79,91.89,1.95,139.8,44.13
2020-03-07 07:00:00,153.25,,0.32,22.32,82.72,91.97,2.01,151.5,98.43
2020-03-07 08:00:00,327.95,,0.42,23.29,77.29,92.04,2.25,176.4,97.8
2020-03-07 09:00:00,541.15,,0.52,24.57,69.58,92.08,2.78,204.2,89.72
2020-03-07 10:00:00,590.15,,0.49,25.75,62.56,92.05,3.25,228.6,74.09
2020-03-07 11:00:00,805.47,,0.62,26.92,56.2,91.97,3.46,249.5,55.0
2020-03-07 12:00:00,795.88,,0.61,28.17,49.91,91.88,3.35,264.5,57.64
2020-03-07 13:00:00,717.28,,0.59,29.44,44.1,91.79,2.96,275.6,59.74
2020-03-07 14:00:00,528.35,,0.51,30.58,39.82,91.73,2.41,288.4,71.11
2020-03-07 15:00:00,344.27,,0.43,30.59,38.43,91.69,1.69,306.3,57.79
2020-03-07 16:00:00,185.88,,0.38,29.77,39.38,91.72,1.25,347.1,40.41
2020-03-07 17:00:00,40.4,,0.26,27.99,45.87,91.77,0.86,28.3,20.18
2020-03-07 18:00:00,0.0,,-999.0,26.51,49.69,91.83,1.49,47.7,19.68
2020-03-07 19:00:00,0.0,,-999.0,26.03,51.72,91.92,2.91,54.9,23.67
2020-03-07 20:00:00,0.0,,-999.0,25.22,56.67,91.99,3.39,63.9,16.15
2020-03-07 21:00:00,0.0,,-999.0,24.51,62.08,92.02,3.22,78.6,8.58
2020-03-07 22:00:00,0.0,,-999.0,23.81,68.32,91.99,3.0,93.4,16.08
2020-03-07 23:00:00,0.0,,-999.0,23.21,74.56,91.93,2.89,107.3,4.46
2020-03-08 00:00:00,0.0,,-999.0,22.73,79.57,91.84,2.68,121.4,15.58
2020-03-08 01:00:00,0.0,,-999.0,22.39,82.82,91.76,2.48,132.4,33.58
2020-03-08 02:00:00,0.0,,-999.0,22.12,85.09,91.73,2.25,138.8,48.17
2020-03-08 03:00:00,0.0,,-999.0,21.91,86.58,91.75,2.02,142.8,66.85
2020-03-08 04:00:00,0.0,,-999.0,21.7,87.92,91.8,1.71,145.5,66.85
2020-03-08 05:00:00,0.0,,-999.0,21.44,89.58,91.88,1.49,146.5,69.52
2020-03-08 06:00:00,40.75,,0.28,21.99,86.48,91.97,2.34,149.7,43.04
2020-03-08 07:00:00,177.35,,0.37,23.96,73.84,92.04,2.81,160.9,79.77
2020-03-08 08:00:00,387.38,,0.49,26.55,60.48,92.08,2.73,168.2,73.49
2020-03-08 09:00:00,591.8,,0.57,29.17,50.01,92.09,2.63,167.9,64.37
2020-03-08 10:00:00,794.92,,0.66,31.33,42.28,92.02,2.65,166.9,37.46
2020-03-08 11:00:00,843.9,,0.65,32.96,36.37,91.91,2.71,168.9,55.88
2020-03-08 12:00:00,864.05,,0.66,33.82,32.94,91.79,2.73,173.3,41.31
2020-03-08 13:00:00,790.42,,0.65,34.15,31.27,91.7,2.74,177.1,37.97
2020-03-08 14:00:00,625.95,,0.6,34.18,30.5,91.63,2.75,178.5,38.85
2020-03-08 15:00:00,427.85,,0.54,33.53,30.91,91.6,2.73,176.6,35.44
2020-03-08 16:00:00,229.9,,0.47,32.34,32.81,91.62,2.7,169.3,13.04
2020-03-08 17:00:00,50.8,,0.33,30.44,38.11,91.66,1.88,159.2,0.45
2020-03-08 18:00:00,0.0,,-999.0,28.88,42.99,91.73,1.46,142.5,63.19
2020-03-08 19:00:00,0.0,,-999.0,28.42,44.01,91.8,2.23,128.3,72.63
2020-03-08 20:00:00,0.0,,-999.0,27.61,46.87,91.87,2.75,116.8,82.5
2020-03-08 21:00:00,0.0,,-999.0,26.72,50.6,91.89,3.24,110.9,91.91
2020-03-08 22:00:00,0.0,,-999.0,25.77,55.14,91.88,3.51,110.7,2.15
2020-03-08 23:00:00,0.0,,-999.0,24.76,60.62,91.85,3.6,116.9,94.59
2020-03-09 00:00:00,0.0,,-999.0,23.7,67.29,91.79,3.61,127.3,18.64
2020-03-09 01:00:00,0.0,,-999.0,22.64,74.77,91.76,3.55,139.0,93.26
2020-03-09 02:00:00,0.0,,-999.0,21.8,80.73,91.74,3.42,148.6,93.69
2020-03-09 03:00:00,0.0,,-999.0,21.36,83.97,91.75,3.24,155.4,75.37
2020-03-09 04:00:00,0.0,,-999.0,21.11,85.87,91.77,2.96,158.8,78.96
2020-03-09 05:00:00,0.0,,-999.0,20.91,87.33,91.83,2.67,159.4,86.1
2020-03-09 06:00:00,36.5,,0.24,21.5,84.29,91.9,2.92,161.4,16.08
2020-03-09 07:00:00,182.12,,0.37,23.87,71.82,91.95,3.24,170.6,72.12
2020-03-09 08:00:00,332.65,,0.42,26.97,57.56,91.98,3.04,172.1,70.23
2020-03-09 09:00:00,505.33,,0.49,29.66,46.53,91.98,2.63,160.9,69.4
2020-03-09 10:00:00,625.38,,0.52,31.68,39.34,91.9,2.31,150.8,50.9
2020-03-09 11:00:00,895.9,,0.69,33.22,33.91,91.78,1.96,144.8,45.8
2020-03-09 12:00:00,894.22,,0.68,34.33,30.15,91.66,1.64,141.7,62.1
2020-03-09 13:00:00,739.08,,0.61,34.79,28.23,91.55,1.43,139.0,41.49
2020-03-09 14:00:00,671.53,,0.64,34.77,27.22,91.47,1.4,139.4,48.0
2020-03-09 15:00:00,468.75,,0.59,34.27,26.98,91.43,1.54,136.1,43.22
2020-03-09 16:00:00,250.38,,0.51,32.92,28.46,91.45,1.84,126.8,22.86
2020-03-09 17:00:00,58.65,,0.38,31.06,32.95,91.5,1.35,120.7,5.96
2020-03-09 18:00:00,0.0,,-999.0,29.34,37.51,91.59,1.09,114.9,36.26
2020-03-09 19:00:00,0.0,,-999.0,28.86,37.68,91.68,1.4,112.7,87.67
2020-03-09 20:00:00,0.0,,-999.0,28.48,37.93,91.78,1.97,114.2,97.67
2020-03-09 21:00:00,0.0,,-999.0,27.8,39.09,91.83,2.99,118.1,96.64
2020-03-09 22:00:00,0.0,,-999.0,26.54,42.52,91.86,3.52,121.9,94.46
2020-03-09 23:00:00,0.0,,-999.0,24.89,47.85,91.84,3.79,128.6,76.64
2020-03-10 00:00:00,0.0,,-999.0,23.29,53.87,91.8,3.85,138.1,69.73
2020-03-10 01:00:00,0.0,,-999.0,22.17,58.28,91.74,3.63,150.5,46.61
2020-03-10 02:00:00,0.0,,-999.0,21.33,62.19,91.71,3.38,161.4,54.25
2020-03-10 03:00:00,0.0,,-999.0,20.58,66.51,91.72,3.06,166.8,23.39
2020-03-10 04:00:00,0.0,,-999.0,19.96,71.08,91.77,2.7,166.9,20.7
2020-03-10 05:00:00,0.0,,-999.0,19.45,76.0,91.84,2.41,164.3,20.34
2020-03-10 06:00:00,34.5,,0.22,20.16,75.25,91.92,3.05,162.5,77.25
2020-03-10 07:00:00,197.0,,0.4,23.36,57.52,91.99,3.4,171.0,72.93
2020-03-10 08:00:00,422.38,,0.53,27.11,41.04,92.04,3.13,179.3,15.35
2020-03-10 09:00:00,640.9,,0.62,30.2,32.26,92.03,2.8,174.7,6.08
2020-03-10 10:00:00,812.4,,0.67,32.61,27.34,91.95,2.57,166.3,7.81
2020-03-10 11:00:00,976.8,,0.75,34.39,24.34,91.82,2.37,163.9,2.82
2020-03-10 12:00:00,969.35,,0.74,35.56,22.32,91.68,2.17,169.1,14.31
2020-03-10 13:00:00,877.78,,0.72,36.17,21.12,91.55,1.99,178.0,24.42
2020-03-10 14:00:00,742.08,,0.71,36.18,20.63,91.47,1.91,184.2,21.67
2020-03-10 15:00:00,515.78,,0.65,35.62,20.74,91.43,1.89,178.5,20.21
2020-03-10 16:00:00,288.77,,0.58,34.43,21.67,91.43,1.97,168.0,18.56
2020-03-10 17:00:00,61.85,,0.4,32.03,26.88,91.48,1.23,156.6,42.37
2020-03-10 18:00:00,0.0,,-999.0,30.05,30.56,91.55,1.28,144.6,84.61
2020-03-10 19:00:00,0.0,,-999.0,29.45,29.68,91.64,2.17,140.1,93.64
2020-03-10 20:00:00,0.0,,-999.0,28.54,30.15,91.72,3.52,137.1,86.95
2020-03-10 21:00:00,0.0,,-999.0,27.04,32.97,91.78,4.33,134.8,98.91
2020-03-10 22:00:00,0.0,,-999.0,24.95,39.49,91.81,4.26,134.5,78.63
2020-03-10 23:00:00,0.0,,-999.0,23.16,50.5,91.79,4.0,138.7,85.04
2020-03-11 00:00:00,0.0,,-999.0,21.87,63.29,91.74,3.33,146.6,61.78
2020-03-11 01:00:00,0.0,,-999.0,21.01,72.75,91.69,2.78,158.5,37.69
2020-03-11 02:00:00,0.0,,-999.0,20.39,78.84,91.67,2.32,168.8,45.65
2020-03-11 03:00:00,0.0,,-999.0,19.88,83.14,91.7,1.92,174.3,4.46
2020-03-11 04:00:00,0.0,,-999.0,19.41,86.81,91.75,1.51,175.0,8.72
2020-03-11 05:00:00,0.0,,-999.0,18.92,90.37,91.82,1.01,172.6,17.87
2020-03-11 06:00:00,48.78,,0.31,19.96,84.04,91.91,1.82,173.7,33.78
2020-03-11 07:00:00,247.62,,0.5,23.41,63.07,92.0,2.32,192.2,41.59
2020-03-11 08:00:00,483.52,,0.61,27.08,47.35,92.04,2.48,192.8,26.04
2020-03-11 09:00:00,681.55,,0.65,30.09,36.89,92.05,2.46,182.1,33.21
2020-03-11 10:00:00,823.17,,0.68,32.46,30.18,91.97,2.39,172.8,22.54
2020-03-11 11:00:00,965.38,,0.74,34.1,26.51,91.84,2.3,169.2,24.84
2020-03-11 12:00:00,974.5,,0.74,35.22,24.11,91.7,2.31,171.5,19.84
2020-03-11 13:00:00,905.8,,0.74,35.78,22.6,91.58,2.37,175.9,18.79
2020-03-11 14:00:00,753.8,,0.72,35.79,21.83,91.5,2.5,179.1,6.04
2020-03-11 15:00:00,482.1,,0.6,35.24,21.7,91.46,2.72,176.6,9.49
2020-03-11 16:00:00,247.82,,0.5,34.03,22.53,91.49,2.92,171.9,21.72
2020-03-11 17:00:00,43.2,,0.28,31.88,25.59,91.54,2.18,165.1,44.87
2020-03-11 18:00:00,0.0,,-999.0,30.01,28.77,91.63,2.14,155.1,28.05
2020-03-11 19:00:00,0.0,,-999.0,29.21,29.07,91.72,3.03,151.2,27.72
2020-03-11 20:00:00,0.0,,-999.0,28.1,30.38,91.81,3.37,149.3,21.4
2020-03-11 21:00:00,0.0,,-999.0,27.08,31.86,91.86,3.56,148.5,7.78
2020-03-11 22:00:00,0.0,,-999.0,25.86,34.51,91.9,3.48,148.3,1.62
2020-03-11 23:00:00,0.0,,-999.0,24.45,38.68,91.89,3.22,150.0,0.89
2020-03-12 00:00:00,0.0,,-999.0,23.22,43.69,91.86,3.08,154.4,0.46
2020-03-12 01:00:00,0.0,,-999.0,22.25,49.42,91.84,2.96,159.7,0.04
2020-03-12 02:00:00,0.0,,-999.0,21.25,56.17,91.82,2.46,163.5,5.12
2020-03-12 03:00:00,0.0,,-999.0,20.42,62.04,91.84,1.69,166.3,4.02
2020-03-12 04:00:00,0.0,,-999.0,19.72,67.73,91.88,1.16,165.5,3.12
2020-03-12 05:00:00,0.0,,-999.0,19.15,73.58,91.94,0.95,161.0,27.19
2020-03-12 06:00:00,55.15,,0.34,20.43,72.34,92.04,2.14,158.0,13.52
2020-03-12 07:00:00,253.48,,0.51,23.72,60.24,92.11,2.85,173.0,0.45
2020-03-12 08:00:00,472.45,,0.59,27.4,44.48,92.15,2.87,175.4,13.36
2020-03-12 09:00:00,645.0,,0.62,30.34,34.48,92.15,2.74,163.7,2.68
2020-03-12 10:00:00,829.62,,0.68,32.61,28.32,92.06,2.67,150.4,1.19
2020-03-12 11:00:00,1007.17,,0.77,34.33,24.39,91.92,2.69,142.7,0.9
2020-03-12 12:00:00,1002.78,,0.76,35.51,21.6,91.78,2.73,141.4,2.24
2020-03-12 13:00:00,916.38,,0.75,36.12,19.84,91.66,2.77,142.9,6.59
2020-03-12 14:00:00,751.15,,0.72,36.13,18.89,91.59,2.89,145.7,10.85
2020-03-12 15:00:00,539.9,,0.68,35.49,18.8,91.57,3.1,147.0,9.15
2020-03-12 16:00:00,300.7,,0.61,34.16,19.7,91.6,3.32,146.3,6.42
2020-03-12 17:00:00,49.83,,0.32,31.36,23.3,91.67,2.35,145.2,57.68
2020-03-12 18:00:00,0.0,,-999.0,28.45,27.79,91.75,2.06,144.3,8.26
2020-03-12 19:00:00,0.0,,-999.0,27.62,28.61,91.84,2.74,143.0,3.57
2020-03-12 20:00:00,0.0,,-999.0,26.69,29.94,91.91,3.29,139.9,1.79
2020-03-12 21:00:00,0.0,,-999.0,25.62,32.04,91.94,3.62,135.0,1.71
2020-03-12 22:00:00,0.0,,-999.0,24.55,35.05,91.94,3.82,132.2,2.68
2020-03-12 23:00:00,0.0,,-999.0,23.22,40.47,91.9,3.59,131.2,4.02
2020-03-13 00:00:00,0.0,,-999.0,21.75,47.82,91.85,3.02,133.3,0.45
2020-03-13 01:00:00,0.0,,-999.0,20.54,54.92,91.79,2.45,139.5,0.31
2020-03-13 02:00:00,0.0,,-999.0,19.61,61.03,91.78,1.95,149.5,0.17
2020-03-13 03:00:00,0.0,,-999.0,18.86,66.18,91.8,1.5,159.8,0.26
2020-03-13 04:00:00,0.0,,-999.0,18.22,70.69,91.88,1.17,168.1,0.36
2020-03-13 05:00:00,0.0,,-999.0,17.71,74.44,91.97,0.99,173.6,0.45
2020-03-13 06:00:00,68.12,,0.42,19.24,68.22,92.07,1.77,171.5,0.57
2020-03-13 07:00:00,299.48,,0.6,23.2,47.58,92.13,2.62,161.6,0.38
2020-03-13 08:00:00,547.58,,0.68,27.53,29.62,92.17,3.25,149.2,0.19
2020-03-13 09:00:00,743.88,,0.71,30.37,22.96,92.15,3.37,139.1,0.0
2020-03-13 10:00:00,908.8,,0.74,32.62,18.88,92.08,3.56,130.0,0.35
